Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Partial User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Collection Costs,Residential Processing Costs,Residential Depot/Transfer Costs,Residential Promotion & Education Costs,Interest on Municipal  Capital,Administration Costs,Total Gross Revenue,Year,TOTAL Reported and/or Calculated Marketed Tonnes,operation cost,Program efficiency,change of Households Serviced,change of Marketed Tonnes,Quadrant
222858,52,52,True,False,True,True,1,1,True,5747382.87,3409847.98,208779.03999999998,111649.07,18775.23,343080.44,303786.2,2019,28377.280000000006,9709090.329999998,0.008190698794197503,0.0,0.0,4
860857,26,52,True,True,False,False,20,1,True,23754184.05,33930899.93,8251650.82,1933564.33,633283.05,2597914.23,8915663.24,2019,99784.55000000002,68534649.03,0.00427648512860301,0.0,0.0,4
184239,42,52,True,False,True,True,50,1,False,5951896.489999999,3873596.49,118513.09,208779.0,265276.55,350940.77,1985825.52,2019,21706.59,10294946.84,0.006142744858621119,0.0,0.0,4
380754,52,52,True,False,True,True,97,1,True,11400945.440000001,13370699.88,2629113.9499999997,993528.8799999999,557830.31,1012167.74,4815316.72,2019,53554.62,28412927.009999998,0.005025794568237756,0.0,0.0,4
229832,52,52,False,False,False,True,172,1,False,10095961.219999999,4298043.06,144454.57,349082.95999999996,147152.84,492579.41,2705559.01,2019,33148.810000000005,15031038.259999998,0.0058069787809905266,0.0,0.0,4
452151,26,52,True,False,True,True,270,1,True,17787482.23,17705377.87,950493.43,844253.72,1487584.06,1447430.31,2597373.92,2019,74041.96,37890783.84,0.004828887766774145,0.0,0.0,4
237081,52,52,True,False,True,True,6,2,False,12490519.040000001,5619439.16,304154.19,354471.26,330725.25,635218.05,3742083.3,2019,41206.969999999994,19049330.440000005,0.005188645510091301,0.0,0.0,4
168187,26,52,False,False,False,True,18,2,False,4576596.9,3504091.3200000003,20315.33,235357.05,145739.35,306731.76,2133782.5100000002,2019,19941.12,8407735.31,0.006887981223778953,0.0,0.0,4
202450,52,52,True,False,True,False,53,2,False,5689455.12,3912166.07,106674.61,214565.3,128733.44,344333.35,2947532.46,2019,34960.20640000001,10052629.149999999,0.00836885846685526,0.0,0.0,4
141523,52,52,True,False,True,True,335,2,False,9497496.780000001,2820488.8000000003,2004290.25,134007.43,3872.95,443397.91,1961104.7,2019,25689.830000000005,14765673.740000002,0.004083578044747556,0.0,0.0,4
198404,52,52,True,False,True,False,357,2,False,7888775.67,4524004.36,340202.82,208710.34,187465.26,508993.67,3498711.4300000006,2019,34912.030000000006,13261976.520000001,0.006275589218503509,0.0,0.0,4
414659,52,52,False,False,False,True,441,2,False,12523694.27,6561535.2700000005,12945.71,138312.88,12435.93,670491.36,6656078.049999999,2019,55231.54,19768666.61,0.007655291756125717,0.0,0.0,4
54661,52,52,True,False,True,False,14,3,False,1944698.53,2194.16,471077.68,129638.86,39224.93,92717.27,129351.95,2019,11108.289999999999,2510687.64,0.009814534508349178,0.0,0.0,4
50607,26,26,False,False,False,True,36,3,True,1422238.39,4516340.52,222867.28,24404.11,131617.29,315873.38,622957.0,2019,5586.8,6477319.569999999,0.0025959213748981843,0.0,0.0,4
34485,52,52,True,False,True,False,55,3,False,854562.21,542823.68,43344.76,11280.27,0.0,44648.73,60217.409999999996,2019,3486.17,1485379.3800000001,0.007381625451705182,0.0,0.0,4
35096,26,26,False,False,False,True,103,3,True,913081.15,759494.97,0.0,27918.949999999997,0.0,52683.66,368978.78,2019,4157.589999999999,1725259.78,0.007001565279558344,0.0,0.0,4
48698,26,26,True,False,True,True,123,3,False,483539.72,1648400.06,285690.57999999996,70920.75,134.27,77706.09,0.0,2019,6660.29,2495336.45,0.007217271150771628,0.0,0.0,4
41946,52,52,False,False,False,True,179,3,False,1804600.6900000002,806899.36,197652.22,70321.71,546.11,88826.67,514798.43000000005,2019,4762.12,2897978.9400000004,0.004876971510996439,0.0,0.0,4
35222,52,52,True,False,True,True,293,3,False,1238980.25,1146173.09,102016.62000000001,97557.28,2087.72,81740.64,804269.87,2019,7281.260000000001,2568910.6,0.006233920868785349,0.0,0.0,4
40534,52,0,True,True,False,True,12,4,True,1223635.89,1546776.13,59889.95,78273.47,12450.96,125120.18,488646.3899999999,2019,4825.33,2955422.15,0.004732097862723341,0.0,0.0,4
34930,52,52,True,True,False,False,21,4,False,2015668.95,856090.7,255598.39,59606.799999999996,2846.38,105379.98,429434.07,2019,5084.4800000000005,3232738.02,0.004122418263808808,0.0,0.0,4
30329,52,52,False,False,False,True,34,4,False,1128639.89,906072.1799999999,0.0,36726.369999999995,206.79,66485.0,417619.64,2019,4463.82,2101197.07,0.0055375236732309535,0.0,0.0,4
79629,52,52,True,True,False,False,87,4,False,3186496.0700000003,1378104.8,53728.62,69217.41,9422.47,150120.56,1112264.4600000002,2019,10810.4,4768450.05,0.0061528917584674605,0.0,0.0,4
