Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes,Quadrant,Previous_Target,Cluster_Labels,Cluster_Probabilities
222858,52,52,True,False,True,1,1,True,111649.07,18775.23,303786.2,2019,2163748452763.14,9709090.329999998,0.0081906987941975,28377.28000000001,4,33016.64333333334,-1,0.0
860857,26,52,True,True,False,20,1,True,1933564.33,633283.05,8915663.24,2019,58998532360018.71,68534649.03,0.004276485128603,99784.55000000002,4,99332.90333333334,-1,0.0
184239,42,52,True,False,True,50,1,False,208779.0,265276.55,1985825.52,2019,1896730710854.76,10294946.84,0.0061427448586211,21706.59,4,22407.19,-1,0.0
380754,52,52,True,False,True,97,1,True,993528.88,557830.31,4815316.72,2019,10818335610765.54,28412927.01,0.0050257945682377,53554.62,4,55256.14333333333,-1,0.0
229832,52,52,False,False,True,172,1,False,349082.96,147152.84,2705559.01,2019,3454613585372.32,15031038.259999998,0.0058069787809905,33148.810000000005,4,32396.31000000001,-1,0.0
452151,26,52,True,False,True,270,1,True,844253.72,1487584.06,2597373.92,2019,17132355804039.842,37890783.84,0.0048288877667741,74041.96,4,72630.32,-1,0.0
237081,52,52,True,False,True,6,2,False,354471.26,330725.25,3742083.3,2019,4516234310045.642,19049330.440000005,0.0051886455100913,41206.97,4,41271.676666666666,-1,0.0
168187,26,52,False,False,True,18,2,False,235357.05,145739.35,2133782.51,2019,1414071778582.97,8407735.31,0.0068879812237789,19941.12,4,19615.236666666668,-1,0.0
202450,52,52,True,False,False,53,2,False,214565.3,128733.44,2947532.46,2019,2035154771417.5,10052629.15,0.0083688584668552,34960.20640000001,4,33692.69546666668,-1,0.0
141523,52,52,True,False,True,335,2,False,134007.43,3872.95,1961104.7,2019,2089682444706.0205,14765673.740000002,0.0040835780447475,25689.830000000005,4,26552.756666666668,-1,0.0
