Total Households Serviced,Single Family Dwellings,Multi-Family Dwellings,User Pay Waste Collection (Pay-As-You-Throw),Full User Pay,Bag Limit Program for Garbage Collection,Program Code,Municipal Group,Single Stream,Residential Promotion & Education Costs,Interest on Municipal  Capital,Total Gross Revenue,Year,Interaction of Households Serviced and operation cost,operation cost,Program efficiency,TOTAL Reported and/or Calculated Marketed Tonnes
222858,52,52,True,False,True,1,1,True,111649.07,18775.23,303786.2,2019,2163748452763.1396,9709090.329999998,0.008190698794197503,28377.280000000006
860857,26,52,True,True,False,20,1,True,1933564.33,633283.05,8915663.24,2019,58998532360018.71,68534649.03,0.00427648512860301,99784.55000000002
184239,42,52,True,False,True,50,1,False,208779.0,265276.55,1985825.52,2019,1896730710854.76,10294946.84,0.006142744858621119,21706.59
380754,52,52,True,False,True,97,1,True,993528.8799999999,557830.31,4815316.72,2019,10818335610765.54,28412927.009999998,0.005025794568237756,53554.62
229832,52,52,False,False,True,172,1,False,349082.95999999996,147152.84,2705559.01,2019,3454613585372.3193,15031038.259999998,0.0058069787809905266,33148.810000000005
452151,26,52,True,False,True,270,1,True,844253.72,1487584.06,2597373.92,2019,17132355804039.842,37890783.84,0.004828887766774145,74041.96
237081,52,52,True,False,True,6,2,False,354471.26,330725.25,3742083.3,2019,4516234310045.642,19049330.440000005,0.005188645510091301,41206.969999999994
168187,26,52,False,False,True,18,2,False,235357.05,145739.35,2133782.5100000002,2019,1414071778582.97,8407735.31,0.006887981223778953,19941.12
202450,52,52,True,False,False,53,2,False,214565.3,128733.44,2947532.46,2019,2035154771417.4998,10052629.149999999,0.00836885846685526,34960.20640000001
141523,52,52,True,False,True,335,2,False,134007.43,3872.95,1961104.7,2019,2089682444706.0203,14765673.740000002,0.004083578044747556,25689.830000000005
198404,52,52,True,False,False,357,2,False,208710.34,187465.26,3498711.4300000006,2019,2631229189474.08,13261976.520000001,0.006275589218503509,34912.030000000006
414659,52,52,False,False,True,441,2,False,138312.88,12435.93,6656078.049999999,2019,8197255527835.99,19768666.61,0.007655291756125717,55231.54
54661,52,52,True,False,False,14,3,False,129638.86,39224.93,129351.95,2019,137236697090.04001,2510687.64,0.009814534508349178,11108.289999999999
50607,26,26,False,False,True,36,3,True,24404.11,131617.29,622957.0,2019,327797711478.99,6477319.569999999,0.0025959213748981843,5586.8
34485,52,52,True,False,False,55,3,False,11280.27,0.0,60217.409999999996,2019,51223307919.3,1485379.3800000001,0.007381625451705182,3486.17
35096,26,26,False,False,True,103,3,True,27918.949999999997,0.0,368978.78,2019,60549717238.88,1725259.78,0.007001565279558344,4157.589999999999
48698,26,26,True,False,True,123,3,False,70920.75,134.27,0.0,2019,121517894442.1,2495336.45,0.007217271150771628,6660.29
41946,52,52,False,False,True,179,3,False,70321.71,546.11,514798.43000000005,2019,121558624617.24002,2897978.9400000004,0.004876971510996439,4762.12
35222,52,52,True,False,True,293,3,False,97557.28,2087.72,804269.87,2019,90482169153.2,2568910.6,0.006233920868785349,7281.260000000001
40534,52,0,True,True,True,12,4,True,78273.47,12450.96,488646.3899999999,2019,119795081428.09999,2955422.15,0.004732097862723341,4825.33
34930,52,52,True,True,False,21,4,False,59606.799999999996,2846.38,429434.07,2019,112919539038.6,3232738.02,0.004122418263808808,5084.4800000000005
30329,52,52,False,False,True,34,4,False,36726.369999999995,206.79,417619.64,2019,63727205936.02999,2101197.07,0.0055375236732309535,4463.82
79629,52,52,True,True,False,87,4,False,69217.41,9422.47,1112264.4600000002,2019,379706909031.45,4768450.05,0.0061528917584674605,10810.4
35302,52,52,True,False,True,88,4,False,56973.25,0.0,459020.94,2019,84589961186.84001,2396180.4200000004,0.005493177136250118,4907.800800000001
49734,52,52,True,False,True,89,4,False,48955.25,5196.24,379921.47,2019,225963849297.41998,4543448.13,0.003569732759356412,5289.19
22617,26,26,True,False,True,143,4,False,35415.54,0.0,280661.95,2019,18903036872.79,835788.87,0.009636959091962716,2868.39
73838,52,52,True,False,False,183,4,True,52316.119999999995,2608.01,345255.24999999994,2019,485971099073.3,6581585.35,0.00400733067424512,9420.880000000003
72080,52,52,True,True,False,186,4,True,45744.2,216768.07,1283505.8,2019,584851238992.8,8113918.41,0.0034240800719682143,10708.639999999996
34456,26,26,True,True,True,190,4,False,28563.65,28300.61,436295.02999999997,2019,79421840443.92,2305022.07,0.004446820353261104,3049.1899999999996
56033,52,52,True,False,False,324,4,False,64988.06,14818.29,744094.01,2019,245393018075.51996,4379437.4399999995,0.004642230744126712,7376.43
48365,26,26,True,False,True,429,4,False,13974.859999999999,663.91,324593.48,2019,77430395577.20001,1600959.2800000003,0.00888173016700139,4180.464400000001
38256,52,52,True,False,False,601,4,False,45483.06,11205.14,210627.25999999998,2019,114537127717.91998,2993965.0699999994,0.004867424520437852,5551.27
24376,52,52,True,False,False,760,4,True,83050.98999999999,586.67,554553.47,2019,34747018322.72,1425460.22,0.0077547697301803865,5012.86
47297,52,52,True,True,False,878,4,True,113584.7,14936.33,419431.65,2019,136658803901.81,2889375.73,0.006471989670819494,7393.499999999999
15237,26,52,True,True,False,8,5,True,1963.1,973.4,93052.72,2019,13125660258.689999,861433.3699999999,0.006528343717793027,2075.63
9630,26,52,True,True,True,41,5,False,11706.61,1017.63,171251.26000000004,2019,5636558219.4,585312.38,0.005283821791109236,993.22
13868,52,52,True,False,False,56,5,False,6443.96,406.13,2299.3900000000003,2019,7842990263.84,565545.88,0.011149980973409523,2867.2800000000007
10125,52,52,True,False,False,67,5,False,19937.35,0.0,0.0,2019,1903766591.2499998,188026.33,0.01964222110804445,1347.1733959092533
3564,26,26,True,True,False,157,5,True,1283.65,0.0,250.0,2019,545681652.12,153109.33000000002,0.007714600580625305,391.4646115974365
20472,52,52,False,False,True,214,5,True,10756.92,504.77,255085.94,2019,35703441505.92,1744013.3599999999,0.0043035116136486634,2751.5999999999995
3188,52,52,True,False,True,223,5,False,2463.42,2352.67,800.41,2019,736547996.3200002,231037.64000000004,0.004045308975646066,274.0
1949,52,52,True,False,False,224,5,False,3461.85,0.0,210.0,2019,144556901.22,74169.78,0.008350692346077028,196.82810451351673
17991,26,52,True,False,False,233,5,False,7748.99,289.85,171134.77,2019,12508327667.519999,695254.72,0.008905349603342558,2130.76
2493,52,52,True,True,True,272,5,False,3150.0,0.0,0.0,2019,231595835.85,92898.45,0.009490385268965902,311.7901161962606
3032,52,52,True,False,False,427,5,False,4279.1,0.0,41727.25,2019,615160933.68,202889.49,0.005678686408970954,437.80999999999995
4336,52,52,True,False,False,524,5,True,3816.73,0.0,89207.8,2019,1362834111.3600004,314306.76000000007,0.0046038450693930795,482.9026295663896
3822,52,52,True,False,False,565,5,False,5519.3,767.31,88951.02,2019,1024123666.0199999,267954.91,0.005129083319034859,494.2108368167203
1052,26,26,False,False,True,613,5,False,0.0,0.0,0.0,2019,73508121.28,69874.64,0.0053218988866674775,131.44881180778845
2495,52,52,True,False,True,696,5,True,577.44,0.0,201.75,2019,321588758.55,128893.29,0.00619541846482727,255.582644832942
4911,52,52,True,False,False,731,5,True,0.0,0.0,41367.85,2019,1320895611.03,268966.73,0.008440281549445637,1049.3999999999999
1468,52,52,True,True,True,732,5,True,1250.0,0.0,0.0,2019,101844907.52,69376.64,0.007616680618709292,190.20939315714202
767,52,52,True,True,False,754,5,False,475.0,0.0,0.0,2019,26492041.94,34539.82,0.008034128259780124,100.39736101583901
3361,26,26,True,False,False,885,5,False,1489.3,0.0,0.0,2019,486211872.46,144662.86,0.008420400071815494,441.47999999999996
4458,52,52,True,False,False,909,5,False,5356.75,0.0,620.13,2019,867889101.66,194681.27,0.00725800059153145,447.85999999999996
512,26,26,False,False,False,923,5,False,905.7,0.0,84.0,2019,15506785.28,30286.69,0.00500859464053749,44.94334914850541
7013,26,26,False,False,True,394,6,False,3329.73,0.0,25617.809999999998,2019,2931630083.48,418027.96,0.004883376638022082,594.2199999999999
3650,26,26,False,False,True,414,6,True,9811.62,1825.42,11641.15,2019,770753856.0,211165.44,0.003681463808121224,165.57466674439706
5642,52,52,False,False,False,426,6,False,2500.0,0.0,420.0,2019,950526640.7,168473.35,0.009598290411956187,463.4651825294747
17740,52,52,False,False,True,430,6,True,12208.14,25712.28,480.0,2019,30344146529.599995,1710493.0399999998,0.003862582214489477,2460.6196060451057
69,52,52,False,False,False,443,6,True,0.0,0.0,0.0,2019,1092283.7999999998,15830.199999999999,0.0020363415813819466,15.060000000000004
460,26,0,False,False,True,562,6,False,702.15,0.0,0.0,2019,22154340.599999998,48161.60999999999,0.004019616088909044,81.4729258961534
1885,52,52,True,False,False,603,6,True,4813.54,0.0,0.0,2019,154002426.5,81698.9,0.005240442968777361,97.2427118677526
295,52,52,True,False,False,618,6,True,0.0,0.0,16785.12,2019,5100157.649999999,17288.67,0.0041691304402912575,17.61132857645476
2396,52,0,True,False,False,620,6,False,1439.65,0.0,0.0,2019,290938852.4,121426.9,0.006189733441405458,235.769105126831
1629,52,0,False,False,False,622,6,False,140.0,0.0,396.0,2019,135853240.58999997,83396.70999999999,0.0053586284864028345,122.59818725735381
2528,52,52,False,False,True,623,6,False,0.0,0.0,0.0,2019,201762814.72,79811.24,0.009555939118316585,230.09002718232702
296,52,0,True,True,False,626,6,False,0.0,0.0,0.0,2019,5298441.4399999995,17900.14,0.004457749792861335,21.5105998451828
2313,0,0,False,False,False,627,6,False,0.0,0.0,0.0,2019,187401087.26999998,81020.79,0.007663726571519501,166.68530619268788
4519,26,26,False,False,True,634,6,True,9604.32,10216.92,0.0,2019,2856095894.5499997,632019.45,0.002664670099545183,627.6325278076947
